mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__reg_lambda,param_clf__reg_alpha,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__gamma,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,overfitting_gap
6.6922101974487305,0.052712919493584,0.6703424453735352,0.13838711639044302,5.0,0.1,100,1,6,0.3,0.5,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 0.5}",-1.1559842143313317,-1.1722887399063386,-1.1671634017490986,-1.1651454519955895,0.00680751934565884,41,-1.0055914565914275,-0.9704718665837002,-0.9656858347180609,-0.9805830526310628,0.017791228676669362,0.35984501214095377,0.35966093256490217,0.3575562267080873,0.3590207238046477,0.001038279067160441,41,0.4486140712513229,0.46422806801699246,0.4689374595725484,0.4605931996136213,0.008685974497092075,0.10157247580897355
10.793688535690308,0.49814600301720696,1.1053513685862224,0.18606851931514856,5.0,0.1,100,1,9,0.05,0.5,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 9, 'clf__learning_rate': 0.05, 'clf__gamma': 0.5}",-1.1509845833787573,-1.16730786840107,-1.1619598783982588,-1.160084110059362,0.006794668921334348,34,-0.9975473236628266,-0.989302032948326,-0.9947105425345905,-0.9938532997152477,0.00342026837934722,0.3626136820345961,0.36238163311087224,0.36042041108100065,0.36180524207548964,0.0009837951474514135,34,0.4530248303888843,0.4538324296063174,0.4529758139585678,0.4532776913179231,0.00039276929536152366,0.09147244924243347
5.0629299481709795,0.7155072438944403,0.7257962226867676,0.22253821238984509,2.0,0.1,100,1,6,0.3,1.0,"{'clf__reg_lambda': 2, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 1}",-1.1722894311958247,-1.1869819715133536,-1.186654490475467,-1.1819752977282152,0.0068502466534670035,48,-1.046247438271573,-1.0258250610811053,-1.0357144006459362,-1.0359289666662048,0.008338780944487596,0.35081559307577537,0.351635051308382,0.34682771297284654,0.34975945245233464,0.0020998730486132713,48,0.4263215825165023,0.43366902866873724,0.4304264378850381,0.4301390163567593,0.0030064596666939873,0.08037956390442463
7.130362351735433,0.9122157123009638,0.9925042788187662,0.1105669408730611,2.0,0.01,100,2,6,0.05,0.5,"{'clf__reg_lambda': 2, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__gamma': 0.5}",-1.2253172812572086,-1.2527433404746835,-1.2443216761562423,-1.2407940992960447,0.01147112403468118,65,-1.193059427197198,-1.189334211288523,-1.1931140269773974,-1.191835888487706,0.001769093344189608,0.32145010322618217,0.3157142305749868,0.3150858640523243,0.3174167326178311,0.002863537435868844,65,0.3458216296434079,0.3433999376007868,0.3438671839157367,0.34436291705331046,0.0010489555424612158,0.02694618443547936
10.535242795944214,0.313278710351577,0.9295510450998942,0.1180462117581527,2.0,0.01,100,2,9,0.05,0.1,"{'clf__reg_lambda': 2, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 2, 'clf__max_depth': 9, 'clf__learning_rate': 0.05, 'clf__gamma': 0.1}",-1.1459651028893474,-1.16631040160068,-1.1627190118081736,-1.1583315054327337,0.008866433106920082,24,-0.9754200328853339,-0.9746036253924736,-0.9794556140911836,-0.9764930907896637,0.0021211692581586702,0.36539334410257307,0.36292647922174615,0.3600025599630109,0.3627741277624434,0.0022034135086576533,24,0.4651576669360399,0.4619470329085178,0.46136500303221706,0.46282323429225825,0.0016677073125485086,0.10004910652981486
6.526574691136678,0.429453058135602,0.6075576146443685,0.033219522813026085,5.0,0.01,100,4,6,0.3,0.0,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 4, 'clf__max_depth': 6, 'clf__learning_rate': 0.3, 'clf__gamma': 0}",-1.152828377682392,-1.1728262804483416,-1.1659350712665006,-1.1638632431324114,0.00829451154366534,37,-0.9893767831421615,-0.9735661217630971,-0.967528831762949,-0.9768239122227359,0.009212062522450049,0.3615926351159402,0.35936731189137916,0.35823233878366056,0.35973076193032666,0.0013957004951615235,37,0.4575049013400003,0.4625198113095108,0.4679239346170495,0.46264954908885353,0.004254541692952458,0.10291878715852687
7.799696445465088,0.5506268022856958,0.6728583971659342,0.06322590610194934,1.0,0.0,100,1,9,0.1,0.0,"{'clf__reg_lambda': 1, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 9, 'clf__learning_rate': 0.1, 'clf__gamma': 0}",-1.1253272168342077,-1.1381292708256552,-1.1343936628904494,-1.132616716850104,0.005375332518254631,6,-0.8411745903498958,-0.8389558304860073,-0.8408837352385702,-0.8403380520248245,0.0009845646959354087,0.3768220864100157,0.3783198532135391,0.3755937308404066,0.37691189015465376,0.001114744913343166,6,0.538767130826657,0.5368346042526626,0.5375702567178107,0.5377239972657101,0.0007964051970573289,0.1608121071110563
3.7316845258076987,0.10442575663706909,0.46316130956013996,0.02412079499373511,5.0,0.1,100,1,3,0.3,0.0,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 3, 'clf__learning_rate': 0.3, 'clf__gamma': 0}",-1.2476448630916348,-1.2703974432038165,-1.2589585808806645,-1.2590002957253719,0.00928874876886059,74,-1.237968513767672,-1.2243007677093611,-1.2292559216597372,-1.23050840104559,0.0056496813501652355,0.30908564988768517,0.30607103321826756,0.307029247226968,0.3073953101109736,0.0012576379824012626,74,0.32119707834515987,0.32409582366048895,0.3239915621391488,0.32309482138159923,0.0013425818635434104,0.015699511270625632
5.516594966252645,0.4772077446092729,0.5668270587921143,0.0815594156150455,2.0,0.0,100,1,6,0.05,0.1,"{'clf__reg_lambda': 2, 'clf__reg_alpha': 0, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__gamma': 0.1}",-1.225057235640365,-1.252989810937069,-1.244165147486054,-1.2407373980211627,0.011658167107856342,64,-1.1930327650651844,-1.1888436069100814,-1.1929873089180036,-1.191621226964423,0.001964161643049478,0.32159410994931004,0.31557960105867267,0.3151720223994362,0.317448577802473,0.00293605264214965,64,0.3458362490241975,0.3436707873438115,0.3439368703625296,0.3444813022435129,0.0009642304797361379,0.027032724441039935
5.531977256139119,0.4831761481220288,0.5661301612854004,0.028598345897894537,5.0,0.01,100,1,6,0.05,0.1,"{'clf__reg_lambda': 5, 'clf__reg_alpha': 0.01, 'clf__n_estimators': 100, 'clf__min_child_weight': 1, 'clf__max_depth': 6, 'clf__learning_rate': 0.05, 'clf__gamma': 0.1}",-1.227503624090995,-1.2540781999215167,-1.2438284209785535,-1.2418034149970218,0.01094311068090995,69,-1.1978736289395056,-1.191510391695681,-1.1972678762345694,-1.1955506322899188,0.0028675648355795417,0.32023936154574517,0.31498509053956314,0.31535736735432585,0.31686060647987807,0.0023939697649224823,69,0.3431819064422349,0.3421985257708994,0.3415828449933268,0.34232109240215375,0.0006585419822956285,0.025460485922275677
