id,title,startYear,runtimeMinutes,numVotes,countryOfOrigin,awardsOrNominations,awards,nominations
tt13238346,Past Lives,2023,105,158672,"US,KR",True,82.0,236.0
tt13223398,Beast,2022,93,46883,"IS,JP,US",True,0.0,2.0
tt1322269,August: Osage County,2013,121,98101,US,True,16.0,67.0
tt13097932,One Life,2023,109,36080,"GB,CZ,AU,US",True,3.0,1.0
tt13320622,The Lost City,2022,112,171926,US,True,3.0,10.0
tt13287846,Napoleon,2023,158,177084,"GB,US",True,5.0,46.0
tt1340138,Terminator Genisys,2015,126,302190,"US,CA",True,0.0,9.0
tt13345606,Evil Dead Rise,2023,96,159037,"IE,NZ,US",True,4.0,32.0
tt13321244,Origin,2023,141,7678,US,True,8.0,32.0
tt13327144,The Forgotten Carols,2020,130,85,US,False,0.0,0.0
tt13375076,The Pope's Exorcist,2023,103,98102,"US,ES,GB",True,1.0,3.0
tt13405778,Insidious: The Red Door,2023,107,59962,"US,CA",True,0.0,2.0
tt13429870,Robot Dreams,2023,103,22408,"ES,FR",True,27.0,44.0
tt13502506,L'Arracheuse de temps,2021,105,327,CA,True,4.0,14.0
tt13433802,A Quiet Place: Day One,2024,99,159056,"US,GB,CA",True,5.0,11.0
tt13521006,Beau Is Afraid,2023,179,74147,"US,GB,FI,CA",True,0.0,31.0
tt1361336,Tom & Jerry,2021,101,42056,US,True,0.0,7.0
tt1365519,Tomb Raider,2018,119,236317,"GB,US",True,0.0,8.0
tt1355631,The Infiltrator,2016,127,83466,"GB,US",True,0.0,1.0
tt1355630,If I Stay,2014,107,130300,US,True,3.0,1.0
tt13669038,Women Talking,2022,104,46573,US,True,65.0,164.0
tt13751694,Animal,2023,204,108730,IN,True,40.0,59.0
tt1371150,This Is Where I Leave You,2014,103,92770,US,True,0.0,1.0
tt1355683,Black Mass,2015,123,199524,"US,GB",True,6.0,24.0
tt1355644,Passengers,2016,116,480323,"HK,AU,US",True,2.0,12.0
tt13820428,Witnesses,2021,110,468,US,False,0.0,0.0
tt1390411,In the Heart of the Sea,2015,122,156230,"US,AU,ES",True,1.0,6.0
tt13833688,The Whale,2022,117,251380,US,True,50.0,122.0
tt13848804,Journey to Bethlehem,2023,99,3470,"US,ES",True,0.0,3.0
tt1386697,Suicide Squad,2016,123,746438,US,True,18.0,41.0
tt1396484,It,2017,135,653607,"US,CA",True,12.0,49.0
tt13957560,Dumb Money,2023,105,59067,US,True,1.0,2.0
tt1392190,Mad Max: Fury Road,2015,120,1177552,"AU,US",True,245.0,234.0
tt1389139,When the Bough Breaks,2016,107,8619,US,True,0.0,1.0
